company_name,date,positive_sentiment_bert_mean,positive_sentiment_bert_std,positive_sentiment_bert_median,positive_sentiment_bert_min,positive_sentiment_bert_max,positive_sentiment_bert_mean_company_sentiment,positive_sentiment_bert_std_company_sentiment,positive_sentiment_bert_min_company_sentiment,positive_sentiment_bert_max_company_sentiment,positive_sentiment_bert_median_company_sentiment,positive_sentiment_bert_mean_company_presentation_sentiment,positive_sentiment_bert_std_company_presentation_sentiment,positive_sentiment_bert_min_company_presentation_sentiment,positive_sentiment_bert_max_company_presentation_sentiment,positive_sentiment_bert_median_company_presentation_sentiment,positive_sentiment_bert_mean_company_qna_sentiment,positive_sentiment_bert_std_company_qna_sentiment,positive_sentiment_bert_min_company_qna_sentiment,positive_sentiment_bert_max_company_qna_sentiment,positive_sentiment_bert_median_company_qna_sentiment,positive_sentiment_bert_mean_analyst_sentiment,positive_sentiment_bert_std_analyst_sentiment,positive_sentiment_bert_min_analyst_sentiment,positive_sentiment_bert_max_analyst_sentiment,positive_sentiment_bert_median_analyst_sentiment,negative_sentiment_bert_mean,negative_sentiment_bert_std,negative_sentiment_bert_median,negative_sentiment_bert_min,negative_sentiment_bert_max,negative_sentiment_bert_mean_company_sentiment,negative_sentiment_bert_std_company_sentiment,negative_sentiment_bert_min_company_sentiment,negative_sentiment_bert_max_company_sentiment,negative_sentiment_bert_median_company_sentiment,negative_sentiment_bert_mean_company_presentation_sentiment,negative_sentiment_bert_std_company_presentation_sentiment,negative_sentiment_bert_min_company_presentation_sentiment,negative_sentiment_bert_max_company_presentation_sentiment,negative_sentiment_bert_median_company_presentation_sentiment,negative_sentiment_bert_mean_company_qna_sentiment,negative_sentiment_bert_std_company_qna_sentiment,negative_sentiment_bert_min_company_qna_sentiment,negative_sentiment_bert_max_company_qna_sentiment,negative_sentiment_bert_median_company_qna_sentiment,negative_sentiment_bert_mean_analyst_sentiment,negative_sentiment_bert_std_analyst_sentiment,negative_sentiment_bert_min_analyst_sentiment,negative_sentiment_bert_max_analyst_sentiment,negative_sentiment_bert_median_analyst_sentiment,neutral_sentiment_bert_mean,neutral_sentiment_bert_std,neutral_sentiment_bert_median,neutral_sentiment_bert_min,neutral_sentiment_bert_max,neutral_sentiment_bert_mean_company_sentiment,neutral_sentiment_bert_std_company_sentiment,neutral_sentiment_bert_min_company_sentiment,neutral_sentiment_bert_max_company_sentiment,neutral_sentiment_bert_median_company_sentiment,neutral_sentiment_bert_mean_company_presentation_sentiment,neutral_sentiment_bert_std_company_presentation_sentiment,neutral_sentiment_bert_min_company_presentation_sentiment,neutral_sentiment_bert_max_company_presentation_sentiment,neutral_sentiment_bert_median_company_presentation_sentiment,neutral_sentiment_bert_mean_company_qna_sentiment,neutral_sentiment_bert_std_company_qna_sentiment,neutral_sentiment_bert_min_company_qna_sentiment,neutral_sentiment_bert_max_company_qna_sentiment,neutral_sentiment_bert_median_company_qna_sentiment,neutral_sentiment_bert_mean_analyst_sentiment,neutral_sentiment_bert_std_analyst_sentiment,neutral_sentiment_bert_min_analyst_sentiment,neutral_sentiment_bert_max_analyst_sentiment,neutral_sentiment_bert_median_analyst_sentiment,polarity_bert_mean,polarity_bert_std,polarity_bert_median,polarity_bert_min,polarity_bert_max,polarity_bert_mean_company_sentiment,polarity_bert_std_company_sentiment,polarity_bert_min_company_sentiment,polarity_bert_max_company_sentiment,polarity_bert_median_company_sentiment,polarity_bert_mean_company_presentation_sentiment,polarity_bert_std_company_presentation_sentiment,polarity_bert_min_company_presentation_sentiment,polarity_bert_max_company_presentation_sentiment,polarity_bert_median_company_presentation_sentiment,polarity_bert_mean_company_qna_sentiment,polarity_bert_std_company_qna_sentiment,polarity_bert_min_company_qna_sentiment,polarity_bert_max_company_qna_sentiment,polarity_bert_median_company_qna_sentiment,polarity_bert_mean_analyst_sentiment,polarity_bert_std_analyst_sentiment,polarity_bert_min_analyst_sentiment,polarity_bert_max_analyst_sentiment,polarity_bert_median_analyst_sentiment,positive_sentiment_bert_margin_mean_topic_sentiment,positive_sentiment_bert_cost_mean_topic_sentiment,positive_sentiment_bert_revenue_mean_topic_sentiment,positive_sentiment_bert_earnings_mean_topic_sentiment,positive_sentiment_bert_growth_mean_topic_sentiment,positive_sentiment_bert_debt_mean_topic_sentiment,positive_sentiment_bert_dividend_mean_topic_sentiment,positive_sentiment_bert_cashflow_mean_topic_sentiment,negative_sentiment_bert_margin_mean_topic_sentiment,negative_sentiment_bert_cost_mean_topic_sentiment,negative_sentiment_bert_revenue_mean_topic_sentiment,negative_sentiment_bert_earnings_mean_topic_sentiment,negative_sentiment_bert_growth_mean_topic_sentiment,negative_sentiment_bert_debt_mean_topic_sentiment,negative_sentiment_bert_dividend_mean_topic_sentiment,negative_sentiment_bert_cashflow_mean_topic_sentiment,neutral_sentiment_bert_margin_mean_topic_sentiment,neutral_sentiment_bert_cost_mean_topic_sentiment,neutral_sentiment_bert_revenue_mean_topic_sentiment,neutral_sentiment_bert_earnings_mean_topic_sentiment,neutral_sentiment_bert_growth_mean_topic_sentiment,neutral_sentiment_bert_debt_mean_topic_sentiment,neutral_sentiment_bert_dividend_mean_topic_sentiment,neutral_sentiment_bert_cashflow_mean_topic_sentiment,polarity_bert_margin_mean_topic_sentiment,polarity_bert_cost_mean_topic_sentiment,polarity_bert_revenue_mean_topic_sentiment,polarity_bert_earnings_mean_topic_sentiment,polarity_bert_growth_mean_topic_sentiment,polarity_bert_debt_mean_topic_sentiment,polarity_bert_dividend_mean_topic_sentiment,polarity_bert_cashflow_mean_topic_sentiment
AAPL.OQ,2019-Apr-30,0.35897225,0.19294605,0.27793843,0.01603532,0.75171584,0.39277896,0.1848912,0.030838717,0.75171584,0.342407,0.41476166,0.19149087,0.030838717,0.75171584,0.37409982,0.35109487,0.16461994,0.119472295,0.65912235,0.26976305,0.1987947,0.16452712,0.01603532,0.65115094,0.1938,0.13406807,0.10616932,0.115189046,0.0096522365,0.92887336,0.13334183,0.08303412,0.032277353,0.5965762,0.11509583,0.13317405,0.09138184,0.032277353,0.5965762,0.113947555,0.13365997,0.06470617,0.07501204,0.4902508,0.11637098,0.14203328,0.20181054,0.0096522365,0.92887336,0.11396724,0.5069596,0.2070914,0.5618639,0.054992344,0.936884,0.47387913,0.18668622,0.16283228,0.936884,0.5089181,0.45206428,0.19217421,0.16283228,0.936884,0.43798935,0.51524514,0.16907063,0.22087733,0.79727846,0.5987735,0.65917206,0.2569865,0.054992344,0.9363701,0.67794365,0.2249042,0.23262279,0.16148075,-0.91273904,0.66626406,0.25943714,0.21750194,-0.41274682,0.66626406,0.2205829,0.2815876,0.23045143,-0.41274682,0.66626406,0.2705242,0.2174349,0.18435928,-0.23093623,0.5401381,0.14165694,0.05676139,0.26372576,-0.91273904,0.5321387,0.07748259,0.24053949423666512,0.2927014082670212,0.4393892127114373,0.11575921376546223,0.6218020170927048,0.20821820199489594,0.47352979332208633,-1,0.2530328719211476,0.20505593965450922,0.19855844531510328,0.07704133540391922,0.13428704564770064,0.1190425455570221,0.09790949895977974,-1,0.5064276267907449,0.502242644627889,0.3620523250586278,0.8071994781494141,0.24391091987490654,0.6727392673492432,0.42856069654226303,-1,-0.012493374358330454,0.08764547109603882,0.24083077917630608,0.03871787836154302,0.48751499007145566,0.08917565643787384,0.3756202943623066,-1
AAPL.OQ,2019-Jan-29,0.33650157,0.18382564,0.24338213,0.024460081,0.75242376,0.35902202,0.18320288,0.024460081,0.75242376,0.2660089,0.39552045,0.19794416,0.024460081,0.75242376,0.3452503,0.3208645,0.15816028,0.11932599,0.65837264,0.23577434,0.18346547,0.11150924,0.031699643,0.64774805,0.19966078,0.152494,0.12444796,0.11638866,0.012789553,0.7202162,0.15083347,0.11708457,0.01654393,0.7202162,0.11631187,0.15829326,0.13729891,0.043862823,0.7202162,0.11555943,0.14303459,0.09105047,0.01654393,0.58266735,0.11726189,0.17436813,0.18400562,0.012789553,0.5944999,0.11678524,0.5110044,0.19760482,0.59172714,0.15360469,0.9316771,0.49014452,0.18867387,0.15360469,0.9316771,0.56022364,0.44618627,0.19924623,0.15360469,0.9316771,0.42865747,0.53610086,0.16539879,0.22154967,0.7973047,0.6241816,0.64216644,0.22503176,0.22066423,0.92835283,0.67069095,0.18400757,0.24394806,0.120204136,-0.59403706,0.66550577,0.20818855,0.24278872,-0.59403706,0.66550577,0.14544117,0.23722719,0.27634528,-0.59403706,0.66550577,0.23403719,0.17782997,0.19812362,-0.39359027,0.5399256,0.11510314,0.009097322,0.20480593,-0.45545903,0.53077495,0.067730375,0.3677296148879187,0.2766571342945099,0.4029005629860837,0.43529968708753586,0.3908525513485074,0.16736505925655365,0.14746176451444626,-1,0.172685206646011,0.2000770539045334,0.21455006382387617,0.11792746186256409,0.15369036300107836,0.08377555757761002,0.07820393517613411,-1,0.4595851557595389,0.5232657939195633,0.38254935747903324,0.44677288830280304,0.45545707941055297,0.7488594055175781,0.7743343114852905,-1,0.19504441516030402,0.07658008337020875,0.18835050547900406,0.31737222522497177,0.2371621928177774,0.08358950167894363,0.06925782933831215,-1
AAPL.OQ,2019-Jul-30,0.3570394,0.19013011,0.271027,0.030838717,0.7505255,0.39147553,0.1832199,0.030838717,0.7505255,0.32792592,0.43806916,0.18606685,0.030838717,0.7505255,0.4488449,0.3429405,0.16742286,0.049563732,0.6560045,0.2530364,0.1946428,0.1438352,0.031076038,0.63275516,0.20030762,0.1295961,0.08898437,0.11542777,0.008551466,0.596661,0.13212527,0.08261794,0.015628913,0.596661,0.11533216,0.12793322,0.078153096,0.032277353,0.596661,0.11438638,0.136492,0.08704541,0.015628913,0.59058964,0.11626254,0.117642224,0.12563518,0.008551466,0.5847277,0.11549709,0.5133645,0.20094164,0.57343346,0.16216841,0.936884,0.47639915,0.18499693,0.16216841,0.936884,0.50756544,0.43399754,0.18539001,0.16216841,0.936884,0.43174228,0.5205675,0.1744436,0.22290632,0.9294427,0.61459863,0.68771493,0.20116642,0.22937787,0.93345696,0.6730107,0.22744326,0.21853563,0.15520555,-0.5072115,0.66321933,0.25935027,0.21579306,-0.41337907,0.66321933,0.21333691,0.31013596,0.21699797,-0.41337907,0.66321933,0.35468695,0.20644851,0.20195067,-0.4040856,0.5392248,0.13576186,0.077000596,0.18021545,-0.5072115,0.5152139,0.08771135,0.2262136973440647,0.39852140098810196,0.4982337631111921,0.15475166589021683,0.5638968573027366,0.19151264429092407,0.2218564674258232,-1,0.17239853665232657,0.2617173343896866,0.14742039754813493,0.10002297535538673,0.12357435450964682,0.5642683506011963,0.09043879806995392,-1,0.6013877779245377,0.33976124227046967,0.3543458314136017,0.7452253699302673,0.3125287741422653,0.24421894550323486,0.6877047121524811,-1,0.05381516888737679,0.13680407404899597,0.3508133760025335,0.05472869053483009,0.44032251371725184,-0.3727557361125946,0.1314176805317402,-1
AAPL.OQ,2019-Oct-30,0.3565715,0.18638915,0.2714501,0.030838717,0.74897784,0.38400635,0.18101563,0.030838717,0.74897784,0.3222997,0.43361259,0.18443519,0.030838717,0.74897784,0.4539172,0.32372543,0.15744443,0.048207883,0.65879375,0.24078484,0.23722368,0.17272212,0.033189606,0.65883243,0.2148087,0.12756708,0.07510214,0.11593895,0.008707543,0.59616375,0.13103175,0.07382789,0.02698119,0.59616375,0.11583631,0.12819134,0.07691621,0.032277353,0.59616375,0.114339344,0.13448341,0.069978945,0.02698119,0.5703311,0.11808713,0.11140829,0.08720976,0.008707543,0.5927418,0.1162503,0.5158614,0.19349243,0.5811805,0.16678976,0.94010955,0.48496187,0.180415,0.16678976,0.936884,0.5117916,0.43819606,0.18179297,0.16678976,0.936884,0.42337888,0.54179114,0.16194122,0.22317013,0.9248109,0.6281793,0.651368,0.20734636,0.21789072,0.94010955,0.66875196,0.22900443,0.20814222,0.15657255,-0.412637,0.6647454,0.25297463,0.20948713,-0.412637,0.6647454,0.21072567,0.30542126,0.21637054,-0.412637,0.6647454,0.34383857,0.18924204,0.18206221,-0.3807659,0.5407576,0.12126191,0.12581539,0.17856212,-0.4033743,0.54224086,0.0931821,0.30189093612134454,0.470109760761261,0.4910814605653286,0.17572025954723358,0.5266035723945369,0.20633557438850403,0.21168401837348938,-1,0.1478492021560669,0.0991972063978513,0.1485284361243248,0.12444594129920006,0.12027397529100595,0.5308266282081604,0.08842609822750092,-1,0.550259855389595,0.43069303035736084,0.36039009273052214,0.6998338103294373,0.3531224481437517,0.2628377079963684,0.6998898983001709,-1,0.15404173620045186,0.3709125518798828,0.34255302825942635,0.051274318248033524,0.40632959260888724,-0.32449108362197876,0.12325792387127876,-1
AAPL.OQ,2020-Apr-30,0.34323195,0.18302292,0.2516586,0.020865098,0.7455883,0.3666709,0.18019362,0.030838717,0.7455883,0.28864378,0.40982115,0.18602437,0.030838717,0.7455883,0.42659315,0.31500804,0.1587476,0.053178173,0.65717816,0.24016695,0.24216956,0.17326172,0.020865098,0.65560454,0.21005271,0.1568768,0.1292464,0.116416305,0.009416153,0.9281282,0.16097389,0.12768915,0.011931424,0.5959269,0.11630874,0.16105603,0.130661,0.032277353,0.5959269,0.11562415,0.16087557,0.12448254,0.011931424,0.59404933,0.11872491,0.1448139,0.15141906,0.009416153,0.9281282,0.11837454,0.49989125,0.1970451,0.5529084,0.038684938,0.936884,0.4723552,0.1855349,0.16984256,0.936884,0.47938728,0.42912284,0.17800966,0.16984256,0.936884,0.39678758,0.52411634,0.18162456,0.21836282,0.9288083,0.61056954,0.6130166,0.22149678,0.038684938,0.93497837,0.6635592,0.18635511,0.24814768,0.131093,-0.8949413,0.66101915,0.205697,0.25124756,-0.41280895,0.66101915,0.16949838,0.24876513,0.26770747,-0.41280895,0.66101915,0.31812507,0.15413246,0.22001347,-0.4092114,0.5424559,0.113903634,0.09735568,0.23839858,-0.8949413,0.586668,0.08708983,0.2411598957010678,0.43582314252853394,0.41382991313934325,0.20234836637973785,0.5857976257801056,0.2249794453382492,0.27955786138772964,-1,0.236120482640607,0.2570952922105789,0.18192360524088144,0.10033328831195831,0.11543747633695603,0.13308954238891602,0.07193733751773834,-1,0.5227196174008506,0.30708153545856476,0.4042464804649353,0.6973183751106262,0.2987648844718933,0.6419309973716736,0.6485048085451126,-1,0.005039410931723458,0.1787278652191162,0.23190631449222565,0.10201508179306984,0.47036016583442686,0.09188990294933319,0.2076205275952816,-1
AAPL.OQ,2020-Jan-28,0.3435999,0.19814335,0.25513482,0.013221401,0.944275,0.37985027,0.19338983,0.030838717,0.7579833,0.30192316,0.43451554,0.19467358,0.030838717,0.7579833,0.4557037,0.334242,0.1805729,0.035733134,0.6591151,0.25453514,0.23836955,0.1887712,0.013221401,0.944275,0.21341953,0.12564057,0.09684554,0.11543997,0.008096335,0.93216586,0.13086103,0.08353899,0.032277353,0.5945014,0.11550985,0.119216174,0.058300797,0.032277353,0.5862397,0.11450171,0.14057654,0.098968126,0.03315256,0.5945014,0.116576456,0.10841952,0.14230126,0.008096335,0.93216586,0.11463022,0.5307595,0.21370429,0.6161542,0.04559571,0.9381028,0.48928872,0.19863845,0.16532688,0.936884,0.5429187,0.4462683,0.19627051,0.16532688,0.936884,0.4298724,0.5251814,0.19396415,0.22105063,0.9311143,0.6154867,0.65321094,0.23198342,0.04559571,0.9381028,0.663159,0.21795933,0.22717871,0.13571404,-0.9186249,0.93414575,0.24898925,0.22203502,-0.4109039,0.68129367,0.18079056,0.3152994,0.20993203,-0.397968,0.68129367,0.34562144,0.19366543,0.21721058,-0.4109039,0.5419985,0.1283996,0.12995,0.24073249,-0.9186249,0.93414575,0.09285325,0.3856478027999401,0.32820853697402136,0.44668895196324837,0.4840778758128484,0.4803527037522966,0.26217588782310486,0.17492878437042236,-1,0.12059859919051329,0.12429602071642876,0.11671948320387553,0.11588184535503387,0.15428916830569506,0.42373496294021606,0.08967611566185951,-1,0.49375360235571863,0.5474954204899924,0.43659155381222564,0.40004028379917145,0.36535812505791265,0.3140891492366791,0.7353951036930084,-1,0.2650492036094268,0.20391252317598887,0.3299694735906087,0.3681960180401802,0.3260635380302706,-0.1615590751171112,0.08525266870856285,-1
AAPL.OQ,2020-Jul-30,0.34091777,0.18601346,0.25072464,0.019892829,0.90947664,0.37693197,0.18506993,0.032096103,0.7576342,0.30120414,0.42074585,0.19510962,0.032096103,0.7576342,0.4350915,0.3254983,0.15836878,0.11932599,0.68854326,0.25007543,0.2402777,0.1570378,0.019892829,0.90947664,0.21114914,0.14112239,0.103737205,0.116291165,0.008844113,0.87455714,0.14335532,0.09694376,0.028927997,0.5940061,0.11593891,0.13081676,0.08234187,0.028927997,0.5940061,0.11507882,0.15807453,0.11017744,0.03879034,0.5865014,0.1169215,0.13835691,0.13211174,0.008844113,0.87455714,0.117984585,0.51795983,0.19299528,0.5851783,0.039106563,0.93897593,0.47971272,0.18346074,0.15729152,0.93897593,0.51950836,0.44843745,0.19249657,0.15729152,0.93897593,0.44511884,0.51642716,0.1655201,0.2228407,0.7973047,0.58478034,0.62136537,0.19095999,0.039106563,0.9220816,0.6672887,0.19979537,0.23125236,0.13101579,-0.80857605,0.85805994,0.23357664,0.23160334,-0.40895516,0.6739921,0.18520883,0.2899291,0.2294362,-0.40895516,0.6739921,0.32012296,0.16742377,0.21689302,-0.3983229,0.6497529,0.12254478,0.10192076,0.21854761,-0.80857605,0.85805994,0.09303534,0.3317687093383736,0.2828356809914112,0.5542084487775961,0.2538471296429634,0.5997697549561659,0.2935362756252289,0.14211218804121017,-1,0.19224300628734958,0.3400688444574674,0.10542664645860593,0.09014693647623062,0.11091762284437816,0.28886738419532776,0.08003467693924904,-1,0.47598827154272133,0.3770954782764117,0.340364891414841,0.6560059487819672,0.28931260978182155,0.41759634017944336,0.7778531610965729,-1,0.13952570491366917,-0.05723315725723902,0.4487818209454417,0.1637001968920231,0.4888521370788415,0.004668891429901123,0.062077511101961136,-1
AAPL.OQ,2020-Oct-29,0.3550163,0.18879054,0.2644294,0.016624326,0.8859195,0.38672492,0.18206792,0.030838717,0.7552884,0.31310648,0.43123084,0.19010593,0.030838717,0.7552884,0.44950473,0.33925197,0.16051646,0.07158244,0.6555191,0.26073164,0.25014645,0.1831313,0.016624326,0.8859195,0.21196021,0.13514264,0.09361107,0.11627467,0.010608495,0.9269263,0.1347738,0.069875844,0.014827556,0.58931243,0.116176784,0.1352883,0.075679265,0.03062125,0.58516747,0.11549109,0.134225,0.06332804,0.014827556,0.58931243,0.11829457,0.13999847,0.16075113,0.010608495,0.9269263,0.11696252,0.5098411,0.19071107,0.5780318,0.048754778,0.936884,0.47850126,0.17494063,0.1584454,0.936884,0.5145268,0.43348083,0.18154904,0.1584454,0.936884,0.4128657,0.526523,0.15421318,0.22395183,0.79825115,0.60251844,0.60985506,0.21843255,0.048754778,0.93560547,0.6605016,0.21987364,0.22899584,0.14182982,-0.910302,0.8743964,0.25195116,0.21320999,-0.403029,0.6690224,0.19860215,0.29594254,0.22533348,-0.3993489,0.6690224,0.33651564,0.20502695,0.18913022,-0.403029,0.57674813,0.13880613,0.110148,0.26653937,-0.910302,0.8743964,0.09268363,0.3578825604170561,0.4470217029253642,0.5579284459352494,0.48753702143828076,0.5552020370960236,0.15278342366218567,0.14616015553474426,-1,0.13367898515425622,0.22877989585200945,0.11806327752768993,0.1165878747900327,0.10445768913875024,0.37309789657592773,0.07824679091572762,-1,0.5084384433925152,0.3241983825961749,0.3240082633495331,0.39587509135405224,0.3403402517239253,0.4741186201572418,0.7755930721759796,-1,0.2242035842500627,0.21824180583159128,0.4398651899769902,0.3709491416811943,0.4507443714472983,-0.22031450271606445,0.06791336461901665,-1
AAPL.OQ,2021-Apr-28,0.34529683,0.19072239,0.2532176,0.0109208105,0.90334773,0.3800176,0.18930104,0.030838717,0.8618917,0.30343392,0.4467596,0.18908699,0.030838717,0.7414991,0.45487577,0.3339656,0.17564234,0.037497688,0.8618917,0.24034029,0.25140297,0.16872288,0.0109208105,0.90334773,0.21198827,0.1388344,0.104554005,0.11662905,0.010004616,0.94927627,0.1387923,0.0896836,0.010549669,0.5911417,0.116037436,0.13259403,0.08404854,0.032277353,0.5911417,0.11420874,0.14306912,0.09334087,0.010549669,0.5857747,0.117878854,0.14208567,0.15058807,0.010004616,0.94927627,0.11827926,0.5158687,0.19894662,0.5865285,0.03980289,0.93775743,0.48119006,0.18840943,0.12688011,0.936884,0.5104896,0.42064634,0.18131165,0.17350322,0.936884,0.40859872,0.52296525,0.18217365,0.12688011,0.9272354,0.6069606,0.6065113,0.2097744,0.03980289,0.93775743,0.6605016,0.20646243,0.23459196,0.13932855,-0.93835545,0.88530827,0.24122529,0.2286,-0.40378422,0.8506635,0.17812786,0.3141656,0.22970021,-0.40378422,0.65907234,0.36010468,0.1908965,0.21433215,-0.3965819,0.8506635,0.12047726,0.10931728,0.24141882,-0.93835545,0.88530827,0.09223163,0.3040712021291256,0.43913438320159914,0.5040631799594216,0.34893013909459114,0.41516773058817935,0.14232616126537323,0.42359545330206555,-1,0.12333479132503271,0.1177696481347084,0.13552452526662662,0.17913335748016834,0.09332757987655126,0.30484887957572937,0.08341172337532043,-1,0.5725940078496933,0.4430959701538086,0.36041227242221,0.47193650901317596,0.4915046657507236,0.5528249144554138,0.4929927984873454,-1,0.18073640912771224,0.3213647365570068,0.3685386760727219,0.16979677975177765,0.32184017306336987,-0.16252273321151733,0.34018373241027194,-1
AAPL.OQ,2021-Jan-27,0.3535814,0.1914084,0.26192904,0.027766088,0.9380688,0.39191422,0.1843677,0.030838717,0.74320906,0.32792592,0.44975019,0.1870656,0.030838717,0.74320906,0.47009364,0.3500433,0.17102258,0.11932599,0.6598877,0.2597836,0.23689742,0.1745538,0.027766088,0.9380688,0.20694605,0.14474027,0.107083745,0.11666505,0.008346133,0.6897095,0.14626215,0.097308375,0.0107239755,0.5818373,0.116257176,0.13304171,0.07553715,0.032277353,0.5023569,0.11482972,0.1558332,0.10962698,0.0107239755,0.5818373,0.118017055,0.14376567,0.1435005,0.008346133,0.6897095,0.11823802,0.50167835,0.19769363,0.55114913,0.053102847,0.936884,0.4618236,0.1801722,0.17131509,0.936884,0.46838596,0.41720808,0.17769518,0.17131509,0.936884,0.36428332,0.49412346,0.1754283,0.22124657,0.82497513,0.5605607,0.6193369,0.21400486,0.053102847,0.9318985,0.6686946,0.20884113,0.23900929,0.14050189,-0.65325034,0.9292404,0.24565203,0.23336393,-0.39494693,0.6577331,0.2083916,0.31670848,0.22321117,-0.29123735,0.6577331,0.3578172,0.19421013,0.22750497,-0.39494693,0.54121554,0.14050189,0.093131736,0.23732843,-0.65325034,0.9292404,0.08685802,0.4040441297305127,0.4217594899237156,0.5213230083818021,0.4461146965622902,0.3927687100755672,0.2028801292181015,0.3087652251124382,-1,0.16159345085422197,0.08953672531060874,0.1235228632779225,0.11612523347139359,0.11615253922839959,0.445745050907135,0.08288852125406265,-1,0.43436239783962566,0.48870378360152245,0.3551541016153667,0.43776005879044533,0.49107873377700645,0.3513748049736023,0.608346238732338,-1,0.24245069610575834,0.33222275972366333,0.3978001705330351,0.3299894630908966,0.2766161832648019,-0.2428649216890335,0.22587670013308525,-1
